timestamp,0C:F3:EE:09:37:B8,15:72:BE:79:D8:24,20:42:E3:02:33:FA,49:6E:2F:F6:71:C8,DC:A9:04:80:21:68,20:91:48:DE:FA:35,68:64:4B:38:D2:77,01:20:37:AD:FC:69,5B:23:7E:64:EB:9D,51:73:62:69:EA:82,A4:D1:8C:98:3A:34,8C:85:90:2C:15:07,E6:51:82:D4:04:DC,29:CA:2D:F6:72:22,EE:86:02:BE:7C:02,F2:C7:B1:2F:A2:D8,D2:4A:3D:F1:EA:BF,F0:88:04:C0:7E:04,FE:5A:21:83:2F:7C,24:BD:0C:7A:3D:48,28:48:34:EC:DE:AA,7D:09:2F:F9:69:AD,71:AF:D3:DF:7A:DB,45:75:BB:E8:47:64,6C:D2:06:7A:41:98,5C:09:28:17:B5:AD,68:2F:EF:AB:B8:4D,60:F8:1D:C1:57:AF,6C:B1:53:81:A9:AB,30:45:92:0C:20:BD,EB:BA:70:00:26:D0,3F:DE:11:B0:46:75,0C:81:DF:81:7A:27,29:2F:67:64:B3:06,19:A3:F1:40:C8:F6,2E:85:25:EA:D5:1C,28:DC:59:24:CC:BE,79:BE:32:95:D4:D4,50:1A:72:90:57:9F,6C:61:3A:96:B5:9D,70:D9:F5:D8:F7:E5,47:3E:09:74:A2:09,03:EE:C2:5F:3C:60,18:E9:70:0A:F3:B5,16:B2:F1:B5:30:2B,5A:30:A1:4C:40:41,4C:A9:A1:64:64:37,52:93:65:77:8E:6C,48:35:75:D3:5C:F3,58:13:A1:4B:52:88,6A:4F:FC:61:78:3E,3C:42:02:2A:CC:9E,25:8A:52:82:EC:19,38:CB:D7:54:E5:07,04:FE:A1:87:E2:5D,FF:9B:35:DF:53:F0,59:BB:CD:02:A6:B7,78:05:DE:28:EC:D9,FC:8F:90:43:2E:C9,1B:BD:F8:5F:B0:78,04:52:C7:F4:F9:8D,DA:4E:D2:CB:59:EC,40:AD:D3:84:F7:CD,27:54:61:22:9C:12,27:3A:24:3A:49:2C,2C:14:38:3F:B9:29,60:E5:EA:51:E6:52,59:D1:15:AC:0B:F6,6E:DF:6E:82:DD:16,67:D0:AD:93:EC:35,17:72:19:BC:32:4C,AC:BC:32:B3:6A:A2,59:A3:9E:13:36:D1,70:22:A7:8D:B3:2F,D3:9B:19:1F:0F:78,35:36:22:35:A1:CE,0B:D8:34:EA:1B:92,2A:7B:24:8D:7E:3D,50:A9:B0:57:A6:46,64:3A:C4:76:BA:E8,58:EE:81:18:8F:21,73:54:32:9B:74:F3,52:01:3C:D1:CA:E4,03:88:69:26:9D:72,61:54:E3:80:2B:5C,56:19:3E:85:4B:4B,70:D7:E9:0A:F9:B8,70:E2:A0:87:43:EE,53:C4:E1:C1:74:ED,6F:35:AA:04:9A:B9,4C:58:91:97:9B:9F,2A:E8:97:CC:29:0A,4F:35:62:AD:A9:EA,5E:3B:2D:3A:4D:D7,25:B4:A1:BB:4D:C5,0B:12:28:C5:61:8B,76:A5:E2:9C:F9:E3,6C:6A:FA:C9:F5:B9,5C:96:36:67:A0:05,6A:72:5A:6A:66:C2,43:14:89:FA:D2:E3,7D:0F:36:71:16:62,04:52:C7:79:D2:6A,54:81:D1:D1:68:22,58:3D:00:60:6B:48,FE:8C:01:07:D9:86,5F:15:1F:7D:AE:84,78:00:9E:99:CE:6F,52:51:BB:FB:68:7C,5D:97:48:19:9E:AA,42:73:5E:B3:19:1C,73:92:73:D4:26:53,6F:CF:E8:CF:9E:B5,5B:0C:0B:21:B7:09,F0:97:66:11:C4:BE,42:10:2E:FD:5A:69,79:75:2F:97:C5:0B,FA:60:45:DC:91:48,6E:F0:0B:42:9C:31,76:80:7F:74:BB:F2,63:91:DD:F9:99:9E,45:46:32:B0:49:E5,18:EB:A4:C2:CF:E1
1520270135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520270144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
